Text;Size
kick;3
andpulled;3
fluttering;3
nicholas;3
lightning;3
spying;3
jumping;3
cage;3
movement;3
theforbidden;3
hairy;3
smaller;3
duel;3
himwell;3
add;3
fleet;3
refereeing;3
packages;3
sorts;3
setting;3
building;3
harryyes;3
petrified;3
space;3
cannot;3
rattling;3
awayharry;3
hoped;3
games;3
harryyou;3
yawning;3
ought;3
scream;3
croaked;3
withhis;3
soul;3
laughter;3
confused;3
reptile;3
within;3
unpleasant;3
aboutthe;3
cream;3
song;3
owned;3
harryharry;3
sold;3
mutter;3
kitchens;3
alchemy;3
unfortunately;3
botts;3
knowwho;3
shadow;3
bravery;3
dashing;3
gives;3
saidharry;3
ajar;3
puffing;3
friday;3
rising;3
hethought;3
snow;3
pie;3
thefirst;3
monday;3
peas;3
enormous;3
roared;3
wise;3
roaring;3
echoed;3
wasthe;3
yellowish;3
yellow;3
kettle;3
tuesday;3
cost;3
treacle;3
hearts;3
everybody;3
scribbled;3
hadto;3
blow;3
dashed;3
cool;3
gothe;3
leather;3
meself;3
problem;3
devils;3
pure;3
onlyone;3
buying;3
ona;3
strained;3
braver;3
checking;3
lowered;3
bushy;3
phoenix;3
pretty;3
brick;3
dreamed;3
brightly;3
gliding;3
months;3
camera;3
metal;3
counter;3
oak;3
toget;3
whos;3
bartender;3
hamburger;3
uses;3
shiny;3
herbs;3
eagle;3
somethings;3
rise;3
risk;3
ronald;3
pince;3
drops;3
patting;3
color;3
ronand;3
sloped;3
boring;3
flamels;3
poison;3
breakin;3
nowharry;3
merrily;3
freezing;3
tore;3
torn;3
emptied;3
admiring;3
logic;3
honestly;3
driven;3
towered;3
ribs;3
verygood;3
bored;3
sobbing;3
pushing;3
refuse;3
hungry;3
wrenched;3
happening;3
sickles;3
alley;3
sleeve;3
sprinted;3
forever;3
bedroom;3
incredible;3
sleepy;3
bitten;3
roughly;3
ollivanders;3
definitely;3
toppled;3
dirty;3
wailed;3
received;3
orange;3
men;3
privetdrive;3
whathappened;3
joking;3
wouldn;3
glanced;3
sense;3
theportrait;3
alarge;3
glided;3
hegave;3
grateful;3
whose;3
pass;3
beasts;3
smiles;3
beaters;3
dodged;3
cared;3
mice;3
cards;3
becausehe;3
involved;3
chest;3
surely;3
collapsed;3
figgs;3
shrank;3
sport;3
wound;3
adventure;3
coins;3
traffic;3
biggest;3
spots;3
daylight;3
fierce;3
cheek;3
lent;3
bursting;3
binns;3
irritably;3
minds;3
nodding;3
thiswas;3
rabbit;3
thecorridor;3
played;3
plain;3
armchair;3
sausage;3
roomthe;3
passage;3
knuts;3
bigger;3
leap;3
seeing;3
wear;3
reach;3
backed;3
nights;3
stroked;3
punching;3
especially;3
aletter;3
silk;3
wiped;3
streaked;3
overthe;3
poked;3
dedalus;3
hooded;3
century;3
hide;3
bundle;3
blurted;3
constrictor;3
chasing;3
rubbing;3
detention;3
beamed;3
sixty;3
waist;3
apothecary;3
glancing;3
harrylooked;3
smelled;3
distance;3
everywhere;3
longer;3
jet;3
oliver;3
vaults;3
turkey;3
quiver;3
badly;3
bills;3
mixture;3
miles;3
shell;3
tantrum;3
bolted;3
shortly;3
sorted;3
hugged;3
shaken;3
skyward;3
ink;3
ing;3
andhermione;3
erised;3
wings;3
nick;3
growls;3
icy;3
swooping;3
cover;3
abou;3
pretended;3
movements;3
blinking;3
belong;3
problems;3
softly;3
present;3
sooner;3
upward;3
blimey;3
marks;3
onharry;3
headed;3
afford;3
scraping;3
suspected;3
bend;3
harrythought;3
fudge;3
baron;3
marge;3
deafening;3
delighted;3
rumbling;3
casually;3
sprout;3
sounds;3
belonged;3
bean;3
chat;3
swore;3
fists;3
youharry;3
dangling;3
lesson;3
headmaster;3
early;3
ends;3
putouter;3
effort;3
chalk;3
measure;3
wasn;3
themirror;3
thatthe;3
stumped;3
curiously;3
gonna;3
particularly;3
laid;3
remembers;3
queen;3
flashed;3
tosay;3
gothey;3
professorquirrell;3
toast;3
harryand;3
ruined;3
lights;3
flicked;3
recognized;3
vanishing;3
thesame;3
addressed;3
nightmare;3
rustling;3
reading;3
wheezing;3
clever;3
extremely;3
scarlet;3
mixed;3
dunno;3
fluttered;3
faster;3
places;3
talked;3
somebody;3
bathroom;3
grinned;3
hewouldnt;3
wrestling;3
ha;3
favored;3
rare;3
partner;3
breathe;3
excited;3
thenhe;3
didn;3
thatthey;3
muffled;3
looks;3
wet;3
grip;3
grin;3
bewildered;3
fought;3
blackhaired;3
bothered;3
lookedas;3
glaring;3
algie;3
shame;3
themron;3
yell;3
neednt;3
norberts;3
brass;3
tucked;3
shape;3
turns;3
tries;3
lines;3
hummed;3
andthey;3
engine;3
askin;3
sleeping;3
complained;3
crockford;3
brandy;3
tearing;3
immediately;3
stolen;3
clouds;3
squeezed;3
eagerly;3
bars;3
mars;3
